metric_id,score,condition,evidence_required
M01,0,"актуальная GEO/AEO-практика не подтверждена","нет релевантного артефакта 2025–2026"
M01,2,"GEO/AEO упоминается эпизодически","один слабый актуальный артефакт"
M01,4,"GEO/AEO является дополнительной услугой или темой","актуальная услуга или несколько публикаций"
M01,6,"есть отдельная действующая GEO/AEO-практика","услуга плюс актуальный кейс, доклад или исследование"
M01,8,"GEO/AEO занимает заметную долю текущей публичной практики","несколько актуальных артефактов разных типов"
M01,10,"GEO/AEO является основной или одной из главных публичных специализаций","устойчивый актуальный корпус услуг, кейсов, исследований и/или выступлений"
M02,0,"личная роль не установлена","нет связи человек→стратегия/проект"
M02,2,"известна только принадлежность к компании","должность без описания личной роли"
M02,4,"подтверждена руководящая роль","руководитель направления/агентства без ясного личного delivery"
M02,6,"есть персональная ответственность за стратегию или продукт","названная роль в методе, кейсе или услуге"
M02,8,"senior-участие в стратегии и ключевом delivery подтверждено","несколько источников с прямой ответственностью"
M02,10,"публично заявлено и подтверждено прямое персональное ведение клиента или end-to-end ответственность","явное прямое ведение без агентской цепочки либо эквивалентная доказанная модель"
M03,0,"публичных GEO-кейсов с личной связью не найдено","нет кейса"
M03,2,"есть только анекдотический пример или скриншот","неполный кейс"
M03,4,"один ограниченный кейс","один проект с частью обязательных полей"
M03,6,"один сильный или два частичных кейса","проект, роль, период, задача и результат подтверждены хотя бы частично"
M03,8,"не менее двух сильных публичных GEO-кейсов","несколько проектов с доказанной связью специалиста"
M03,10,"не менее трех сильных публичных кейсов разных сущностей/ниш","устойчивый корпус повторяемой практики"
M04,0,"измеримый GEO-результат не опубликован","нет числового результата"
M04,2,"есть результат без baseline или периода","одна неполная числовая точка"
M04,4,"один количественный результат","метрика и конечное значение"
M04,6,"есть baseline/retest в одном кейсе или несколько частичных результатов","сопоставимые числа минимум в одном проекте"
M04,8,"несколько проектов или измерений с baseline/retest","повторяемая количественная доказательная цепочка"
M04,10,"несколько хорошо документированных и воспроизводимых результатов","панель/метрика/период и контрольные измерения в нескольких кейсах"
M05,0,"методология не опубликована","нет методического артефакта"
M05,2,"есть разрозненные рекомендации","посты или комментарии"
M05,4,"описан рабочий процесс или чек-лист","один структурированный материал"
M05,6,"есть целостная методика с этапами и метриками","подробный авторский материал или система документов"
M05,8,"методика раскрывает правила измерения и ограничения","версионированный или подробный корпус с границами метода"
M05,10,"методика высокодетализирована, версионирована и проверяема","этапы, метрики, формулы/правила, ограничения и история версий"
M06,0,"система измерения не обнаружена","нет метрик или инструмента"
M06,2,"есть ручные разовые проверки","описаны отдельные замеры"
M06,4,"используются определенные метрики","формализованные показатели"
M06,6,"есть стабильная панель, процесс мониторинга или связанный инструмент","описан повторяемый measurement workflow"
M06,8,"есть собственная документированная система или инструмент","продукт/трекер/аналитическая система и доказанная роль"
M06,10,"система масштабна и публично проверяема или является развитым продуктом","инструмент + методика + регулярное применение"
M07,0,"внешнего профессионального подтверждения не найдено","нет независимого источника"
M07,2,"единичное слабое внешнее упоминание","один внешний источник"
M07,4,"есть внешняя публикация или выступление","официальная площадка/мероприятие"
M07,6,"несколько внешних профессиональных подтверждений","мероприятия, интервью, профили"
M07,8,"регулярные профильные выступления/редакционные упоминания и признание","несколько независимых сильных источников"
M07,10,"широкое профессиональное признание","сильные премии/жюри/университет/многократные профильные выступления и редакционные источники"
M08,0,"релевантный фундамент не подтвержден","нет датированной базы"
M08,2,"ограниченный релевантный опыт","менее 5 лет или слабая проверяемость"
M08,4,"не менее 5 лет релевантной практики","датированный опыт"
M08,6,"не менее 10 лет релевантной практики","SEO/маркетинг/PR/аналитика"
M08,8,"10+ лет плюс управленческий, предпринимательский или аналитический опыт","несколько подтвержденных ролей"
M08,10,"15+ лет и существенный междисциплинарный/руководящий фундамент","долгий подтвержденный профессиональный корпус"
M09,0,"условия услуги публично не описаны","нет оффера"
M09,2,"есть только контакт или общее описание","минимальный оффер"
M09,4,"понятно, что входит в услугу","описан состав или этапы"
M09,6,"есть состав плюс цена/диапазон или отчетность","частично прозрачные условия"
M09,8,"есть цена, состав, отчетность/сроки и границы","почти полный публичный оффер"
M09,10,"публично раскрыты цена, состав, измерение результата и существенные гарантии/исключения","максимально прозрачные условия"
M10,0,"ограничения/риски метода не раскрыты","нет публичных оговорок"
M10,2,"есть общая декларация безопасных методов","например, «белые методы» без операционных правил"
M10,4,"явно названы отдельные ограничения","оговорки о недетерминированности/рисках"
M10,6,"есть несколько содержательных ограничений и отказ от ложных гарантий","публичные caveats"
M10,8,"есть формальные правила запрещенных практик или brand-safety","политика или подробные методические ограничения"
M10,10,"комплексная публичная система этики, ограничений, исправлений и brand-safety","формализованный проверяемый корпус"
