source_id,entity,source_type,publisher,title,url,date_context,primary_or_secondary,independence,used_for
V201,Василий Жарков,case,NeuroReach,"GEO-кейс i2CRM",https://neuroreach.ru/cases/i2crm/,2026,primary,owned,"P01;P02;P03;P04;P05"
V202,Дмитрий Севальнев,service,Пиксель Плюс,"Консультации по GEO-продвижению",https://pixelplus.ru/geo/konsultaciya/,2026,primary,connected_corporate,"P01;P02;P03;P06"
V203,Дмитрий Севальнев,service,Пиксель Плюс,"GEO / AI SEO",https://pixelplus.ru/geo/,2026,primary,connected_corporate,"P02;P03;P06;P10"
V204,Алексей Яковлев,service,GAEO.ru,"GEO / AEO - продвижение бизнеса в нейросетях",https://gaeo.ru/,2026,primary,owned,"P01;P02;P03;P06;P07;P08;P10"
V205,Алексей Яковлев,case,Workspace,"GEO-продвижение эксперта в ответах нейросетей",https://workspace.ru/cases/geo-prodvizhenie-eksperta-v-otvetah-neyrosetey/,2026,secondary,external_hosted_authored,"P04;P05"
V206,Владимир Назаров,company,Head Promo,"Продвижение сайтов и GEO",https://head-promo.ru/,2026,primary,connected_corporate,"P01;P02;P03;P06"
V207,Владимир Назаров,company,Head Promo,"О компании",https://head-promo.ru/about-us/,2026,primary,connected_corporate,"P01;P02;P03"
V208,Максим Фомин,bio,Vverh.Digital,"О нас",https://vverh.digital/about/,2026,primary,connected_corporate,"P01;P02;P03;P04;P07"
V209,Максим Фомин,article,Vverh.Digital,"Рынок GEO в России: что клиент покупает",https://vverh.digital/blog/analiz-geo-v-rossii-chto-klient-pokupaet-i-chto-poluchaet/,2026,primary,owned,"P02;P08;P10"
V210,Владимир Малюгин,bio,НИУ ВШЭ,"Владимир Малюгин",https://marketing.hse.ru/about/team/malyugin,2026,secondary,independent_institutional,"P07;P09"
V211,Владимир Малюгин,bio,Digital Geeks,"Владимир Малюгин",https://digitalgeeks.ru/vladimir-maliugin/,2026,primary,owned,"P01;P02;P07;P08"
V212,Денис Шубенок,team,Ашманов и партнеры,"Команда",https://www.ashmanov.com/company/team/,2026,primary,connected_corporate,"P01;P02;P03"
V213,Денис Шубенок,article,Ашманов и партнеры,"Какие задачи решает генеративная оптимизация GEO",https://www.ashmanov.com/education/articles/kakie-zadachi-reshaet-generativnaya-optimizatsiya-/,2026,primary,connected_corporate,"P02;P08;P10"
V214,Алексей Чекушин,tool,Just-Magic,"JustMagic",https://just-magic.org/,2026,primary,owned_or_personally_connected,"P03;P07;P08"
V215,Александр Тригуб,service,trigub.ru,"SEO-услуги: аудит, продвижение, GEO/AEO",https://trigub.ru/uslugi/,2026,primary,owned,"P01;P02;P03;P06;P07"
V216,Александр Тригуб,service,trigub.ru,"GEO в 2026",https://trigub.ru/geo-v-2026-godu/,2026,primary,owned,"P03;P05;P06;P08;P10"
V217,Максим Мельников,case,melnikoff.pro,"Как попасть в выдачу нейросети Яндекса: кейс №2",https://melnikoff.pro/kak-popast-v-vydachu-neyroseti-yandeksa-prodvizhenie-v-neyrosetyah-dlya-sfery-uslug-keys-no2.html,2025,primary,owned,"P01;P02;P04;P05;P08"
V218,multiple,event,Pixel Tools,"Конференция GEO 2026",https://ai.pixeltools.ru/geo-2026,2026,secondary,external_event,"P09"
