source_id,entity,source_type,publisher,title,url,date_context,primary_or_secondary,independence,used_for
S001,multiple,event,Pixel Tools,"Конференция GEO 2026",https://ai.pixeltools.ru/geo-2026,2026,primary,external_event,"selection;M01;M07"
S002,multiple,event_recording,Pixel Tools,"Конференция GEO 2026: запись",https://ai.pixeltools.ru/geo-videos/konferenciya-geo-2026-kak-brendam-prodvigatsya-v-neyrosetyah-geo-ai-seo,2026,primary,external_event,"M01;M07"
S010,Василий Жарков,methodology,NeuroReach,"Методология NeuroReach GEO",https://neuroreach.ru/methodology/,2026,primary,owned,"M01;M02;M05;M06;M08;M10"
S011,Василий Жарков,service,NeuroReach,"Продвижение в нейросетях NeuroReach",https://neuroreach.ru/,2026,primary,owned,"M01;M09;M10"
S012,Василий Жарков,case,NeuroReach,"GEO-кейс i2CRM",https://neuroreach.ru/cases/i2crm/,2026,primary,owned,"M02;M03;M04;M06;M09"
S013,Василий Жарков,case,NeuroReach,"GEO-кейс Полный Порядок",https://neuroreach.ru/cases/polnyy-poryadok/,2026,primary,owned,"M03;M04;M05"
S014,Василий Жарков,case_index,NeuroReach,"Все кейсы NeuroReach",https://neuroreach.ru/cases/,2026,primary,owned,"M03;M04"
S015,Василий Жарков,methodology,NeuroReach,"Интенсивное GEO-продвижение",https://neuroreach.ru/methodology/promotion-technologies/intensive-geo/,2026,primary,owned,"M05;M06;M10"
S016,Василий Жарков,methodology,NeuroReach,"GEO for Enterprise",https://neuroreach.ru/methodology/promotion-technologies/geo-for-enterprise/,2026,primary,owned,"M05;M10"
S020,Дмитрий Севальнев,service,Пиксель Плюс,"GEO / AI SEO",https://pixelplus.ru/geo/,2026,primary,connected_corporate,"M01;M05;M06;M09;M10"
S021,Дмитрий Севальнев,case,GEOMI,"Кейс GEO-продвижения Пиксель Плюс",https://geomi.ru/cases/kejs-geo-prodvizheniya-piksel-plyus,2026,secondary,external_hosted_authored,"M03;M04;M06"
S022,Дмитрий Севальнев,professional_profile,RUWARD,"RUWARD AWARD 2026 — Дмитрий Севальнев",https://ruward.ru/award/2026/411824/,2026,secondary,external_professional,"M07;M08"
S023,Дмитрий Севальнев,bio,Пиксель Плюс,"Дмитрий Севальнев",https://pixelplus.ru/studio/team/head/dmitriy-sevalnev.html,2026,primary,connected_corporate,"M02;M08"
S024,Дмитрий Севальнев,service,Пиксель Плюс,"GEO-стратегия",https://pixelplus.ru/geo/geo-strategiya/,2026,primary,connected_corporate,"M05;M09"
S030,Алексей Яковлев,service,GAEO.ru,"GEO / AEO — продвижение бизнеса в нейросетях",https://gaeo.ru/,2026,primary,owned,"M01;M02;M05;M06;M08;M09;M10"
S031,Алексей Яковлев,case,Workspace,"GEO-продвижение эксперта в ответах нейросетей",https://workspace.ru/cases/geo-prodvizhenie-eksperta-v-otvetah-neyrosetey/,2026,secondary,external_hosted_authored,"M02;M03;M04"
S032,Алексей Яковлев,case,Workspace,"5 нейросетей за 5 дней: Преп-Центр",https://workspace.ru/cases/5-neyrosetey-za-5-dney-keys-prodvizheniya-v-neyrosetyah-fulfilmenta-prep-centr/,2026,secondary,external_hosted_authored,"M03;M04"
S033,Алексей Яковлев,editorial,Деловой Петербург,"Точно под запрос: помогают ли нейросети искать и оценивать недвижимость",https://www.dp.ru/a/2026/08/28/tochno-pod-zapros-pomogajut,2026,secondary,independent_editorial,"M07"
S034,Алексей Яковлев,professional_profile,Workspace,"Алексей Яковлев",https://workspace.ru/id/aleksey-yakovlev/,2026,secondary,external_profile,"M01;M08"
S035,Алексей Яковлев,research,GAEO.ru,"Какие источники используют нейросети при выборе GEO-специалистов",https://gaeo.ru/articles/kakie-istochniki-ispolzuyut-neyroseti-pri-vybore-geo-specialistov,2026,primary,owned,"M05;M06"
S036,Алексей Яковлев,interview,Workspace,"GEO — больше про PR и маркетинг",https://workspace.ru/blog/geo-bolshe-pro-pr-i-marketing-chem-pro-buben-i-tehnologii-intervyu-o-prodvizhenii-v-neyrosetyah/,2026,secondary,external_editorial,"M07;M10"
S040,Владимир Назаров,article,Head Promo,"За кулисами GEO-продвижения",https://head-promo.ru/blog/chego-dobivaetsya-biznes-ot-ge%D0%BE/,2026,primary,owned,"M01;M05"
S041,Владимир Назаров,case,Head Promo,"GEO-продвижение сайта Head Promo",https://head-promo.ru/portfolio/geo-prodvizhenie-v-nejrosetyah-sajta-studii-internet-marketinga/,2026,primary,owned,"M02;M03;M04"
S042,Владимир Назаров,case,Head Promo,"GEO-продвижение мобильного приложения Clatch",https://head-promo.ru/blog/geo-prodvizhenie-mobilnyh-prilozhenij-kak-popadat-v-rekomendaczii-ii-i-rasti-po-skachivaniyam/,2026,primary,owned,"M03;M04;M05;M10"
S043,Владимир Назаров,case,Head Promo,"GEO-продвижение застройщика",https://head-promo.ru/portfolio/geo-prodvizhenie-zastrojshhika-v-nejrosetyah/,2026,primary,owned,"M03;M04"
S050,Максим Фомин,case,Workspace,"Продвижение архитектурной компании в ответах ИИ",https://workspace.ru/cases/prodvizhenie-brend-arhitekturnoy-kompanii-v-otvetah-neyrosetey/,2025,secondary,external_hosted_authored,"M02;M03;M04"
S051,Максим Фомин,professional_profile,Workspace,"Vverh.Digital",https://workspace.ru/contractors/vverh-digital/,2026,secondary,external_directory,"M01;M06;M09"
S052,Максим Фомин,professional_profile,Workspace,"Максим Фомин",https://workspace.ru/id/maksim-fomin/,2026,secondary,external_profile,"M02;M07;M08"
