candidate_id,name,metric_id,metric,weight,raw_score,weighted_score,source_ids,evidence_note,status
C01,Василий Жарков,M01,Актуальная специализация GEO/AEO и активность,10,10,10.0,S010;S011;S001,устойчивая GEO-практика,SCORED_V1
C01,Василий Жарков,M02,Личная senior-вовлеченность,15,8,12.0,S012;S010,личный контроль стратегии,SCORED_V1
C01,Василий Жарков,M03,Публично проверяемый корпус GEO-проектов,15,10,15.0,S012;S013;S014,несколько публичных кейсов,SCORED_V1
C01,Василий Жарков,M04,Сила и повторяемость измеримых результатов,15,10,15.0,S012;S013,несколько baseline/retest кейсов,SCORED_V1
C01,Василий Жарков,M05,Опубликованная методология,12,10,12.0,S010;S015;S016,версионированная методология,SCORED_V1
C01,Василий Жарков,M06,"Измерение, аналитика и инструменты",10,8,8.0,S010;S012;S015,собственные метрики и measurement workflow,SCORED_V1
C01,Василий Жарков,M07,Внешний профессиональный авторитет,8,8,6.4,S001;S002,профильные выступления/проф. роли,SCORED_V1
C01,Василий Жарков,M08,Фундаментальный опыт,7,8,5.6,S010,SEO и управление с 2010-х,SCORED_V1
C01,Василий Жарков,M09,Коммерческая прозрачность,5,10,5.0,S011;S012,цена/гарантии/эксклюзивность раскрыты,SCORED_V1
C01,Василий Жарков,M10,Безопасность и прозрачность ограничений,3,10,3.0,S010;S015;S016,формальные ограничения метода,SCORED_V1
C05,Максим Фомин,M01,Актуальная специализация GEO/AEO и активность,10,10,10.0,S050;S051;S001,актуальная GEO-практика,SCORED_V1
C05,Максим Фомин,M02,Личная senior-вовлеченность,15,8,12.0,S050;S052,основатель лично фигурирует в кейсах,SCORED_V1
C05,Максим Фомин,M03,Публично проверяемый корпус GEO-проектов,15,10,15.0,S050;S053;S054;S055;S056,несколько публичных GEO-кейсов,SCORED_V1
C05,Максим Фомин,M04,Сила и повторяемость измеримых результатов,15,10,15.0,S050;S053;S054;S055;S056,несколько количественных кейсов,SCORED_V1
C05,Максим Фомин,M05,Опубликованная методология,12,6,7.2,S050;S053;S054,"процесс описан, но без отдельного версионированного стандарта",SCORED_V1
C05,Максим Фомин,M06,"Измерение, аналитика и инструменты",10,6,6.0,S051;S053;S054,аналитика и мониторинг,SCORED_V1
C05,Максим Фомин,M07,Внешний профессиональный авторитет,8,8,6.4,S001;S052,конференции и жюри,SCORED_V1
