candidate_id,name,practice,selection_channel,unit_status
C01,Василий Жарков,NeuroReach,Pixel Tools GEO 2026 speaker,INCLUDED
C02,Дмитрий Севальнев,Пиксель Плюс / Пиксель Тулс,Pixel Tools GEO 2026 speaker,INCLUDED
C03,Алексей Яковлев,GAEO.ru,personal practice supplementary channel,INCLUDED
C04,Владимир Назаров,Head Promo,Pixel Tools GEO 2026 speaker,INCLUDED
C05,Максим Фомин,Vverh.Digital,Pixel Tools GEO 2026 speaker,INCLUDED
C06,Владимир Малюгин,Digital Geeks,Pixel Tools GEO 2026 speaker,INCLUDED
C07,Денис Шубенок,Ашманов и партнеры,Pixel Tools GEO 2026 speaker,INCLUDED
C08,Александр Тригуб,частная практика,personal practice supplementary channel,INCLUDED
C09,Максим Мельников,melnikoff.pro,personal practice supplementary channel,INCLUDED
C10,Алексей Чекушин,консультант / Just-Magic,Pixel Tools GEO 2026 speaker,INCLUDED
